"Sample","Default Loess","Custom Loess","Binned Quality"
"ATCC_Sample_01_filt_sub.fastq.gz",757,740,764
"ATCC_Sample_02_filt_sub.fastq.gz",831,825,833
"ATCC_Sample_03_filt_sub.fastq.gz",753,761,779
"ATCC_Sample_04_filt_sub.fastq.gz",703,677,709
"ATCC_Sample_05_filt_sub.fastq.gz",793,795,809
"ATCC_Sample_06_filt_sub.fastq.gz",885,881,898
"ATCC_Sample_07_filt_sub.fastq.gz",845,836,866
"ATCC_Sample_08_filt_sub.fastq.gz",823,823,832
